date,exp_name,nultipier,changepoint,region_1,region_2,region_3,region_4,region_5,region_6,region_7,region_8,region_9,region_10,region_11
4/23/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.074,0.072,0.076,0.077,0.068,0.090,0.068,0.083,0.065,0.085,0.071
4/24/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.074,0.072,0.076,0.077,0.068,0.090,0.068,0.083,0.065,0.085,0.071
4/25/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.074,0.072,0.076,0.077,0.068,0.090,0.068,0.083,0.065,0.085,0.071
4/26/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.074,0.072,0.076,0.077,0.068,0.090,0.068,0.083,0.065,0.085,0.071
4/27/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.074,0.072,0.076,0.077,0.068,0.090,0.068,0.083,0.065,0.085,0.071
4/28/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.074,0.072,0.076,0.077,0.068,0.090,0.068,0.083,0.065,0.085,0.071
4/29/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.074,0.072,0.076,0.077,0.068,0.090,0.068,0.083,0.065,0.085,0.071
4/30/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.074,0.072,0.076,0.077,0.068,0.090,0.068,0.083,0.065,0.085,0.071
5/1/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.074,0.072,0.076,0.077,0.068,0.090,0.068,0.083,0.065,0.085,0.071
5/2/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.074,0.072,0.076,0.077,0.068,0.090,0.068,0.083,0.065,0.085,0.071
5/3/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.074,0.072,0.076,0.077,0.068,0.090,0.068,0.083,0.065,0.085,0.071
5/4/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.074,0.072,0.076,0.077,0.068,0.090,0.068,0.083,0.065,0.085,0.071
5/5/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.074,0.072,0.076,0.077,0.068,0.090,0.068,0.083,0.065,0.085,0.071
5/6/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.074,0.072,0.076,0.077,0.068,0.090,0.068,0.083,0.065,0.085,0.071
5/7/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.074,0.072,0.076,0.077,0.068,0.090,0.068,0.083,0.065,0.085,0.071
5/8/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.074,0.072,0.076,0.077,0.068,0.090,0.068,0.083,0.065,0.085,0.071
5/9/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.074,0.072,0.076,0.077,0.068,0.090,0.068,0.083,0.065,0.085,0.071
5/10/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.074,0.072,0.076,0.077,0.068,0.090,0.068,0.083,0.065,0.085,0.071
5/11/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.074,0.072,0.076,0.077,0.068,0.090,0.068,0.083,0.065,0.085,0.071
5/12/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.074,0.072,0.076,0.077,0.068,0.090,0.068,0.083,0.065,0.085,0.071
5/13/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.074,0.072,0.076,0.077,0.068,0.090,0.068,0.083,0.065,0.085,0.071
5/14/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.074,0.072,0.076,0.077,0.068,0.090,0.068,0.083,0.065,0.085,0.071
5/15/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.074,0.072,0.076,0.077,0.068,0.090,0.068,0.083,0.065,0.085,0.071
5/16/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.074,0.072,0.076,0.077,0.068,0.090,0.068,0.083,0.065,0.085,0.071
5/17/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.074,0.072,0.076,0.077,0.068,0.090,0.068,0.083,0.065,0.085,0.071
5/18/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.074,0.072,0.076,0.077,0.068,0.090,0.068,0.083,0.065,0.085,0.071
